"WE Potential max (V)" "WE Current max (µA)" "y-axe intersection (µA)" "Scan rate (V/seg)"
0.3387451171875 1.025390625 -0.28641283643114623 0.005
0.3363037109375 3.109130859375 -0.35329328264508875 0.01
0.3411865234375 6.3751220703125 -0.5032576676253426 0.02
0.3460693359375 10.02197265625 -0.5211664556146971 0.04
0.3509521484375 12.8662109375 -0.2726963588169635 0.06
0.3533935546875 14.8651123046875 0.0645949814345812 0.08
0.3582763671875 16.76025390625 0.33102852957589324 0.1
0.3607177734375 18.6004638671875 0.4980938251201925 0.125
0.3656005859375 20.3094482421875 0.7207011128519918 0.15
0.3680419921875 23.5198974609375 1.3207923972999662 0.2
