Column 1 (V)	Column 2 (V)	Column 3 (V)	Column 4 (V)	Column 5 (V/s)	Column 6 (V)	Scan	Column 8	Column 9	Potential applied (V)	Time (s)	WE(1).Current (A)	WE(1).Potential (V)	Index
0.7	0.69	-0.1	0.685	0.06	-0.00244	1	3	3	0.6805419921875	6032.71761876885	2.51556396484375E-06	0.680450439453125	1304
						1			0.6781005859375	6032.75830876875	2.47833251953125E-06	0.677947998046875	1305
						1			0.6756591796875	6032.79899876865	2.4444580078125E-06	0.675537109375	1306
						1			0.6732177734375	6032.83968876854	2.41180419921875E-06	0.673065185546875	1307
						1			0.6707763671875	6032.88037876844	2.38250732421875E-06	0.670654296875	1308
						1			0.6683349609375	6032.92106876834	2.35321044921875E-06	0.668212890625	1309
						1			0.6658935546875	6032.96175876824	2.32574462890625E-06	0.665802001953125	1310
						1			0.6634521484375	6033.00244876813	2.30133056640625E-06	0.663360595703125	1311
						1			0.6610107421875	6033.04313876803	2.27569580078125E-06	0.660888671875	1312
						1			0.6585693359375	6033.08382876793	2.24884033203125E-06	0.658477783203125	1313
						1			0.6561279296875	6033.12451876783	2.22442626953125E-06	0.65606689453125	1314
						1			0.6536865234375	6033.16520876772	2.200927734375E-06	0.653656005859375	1315
						1			0.6512451171875	6033.20589876762	2.17681884765625E-06	0.651153564453125	1316
						1			0.6488037109375	6033.24658876752	2.154541015625E-06	0.64874267578125	1317
						1			0.6463623046875	6033.28727876741	2.1331787109375E-06	0.646331787109375	1318
						1			0.6439208984375	6033.32796876731	2.108154296875E-06	0.643890380859375	1319
						1			0.6414794921875	6033.36865876721	2.08526611328125E-06	0.64141845703125	1320
						1			0.6390380859375	6033.40934876711	2.06329345703125E-06	0.639007568359375	1321
						1			0.6365966796875	6033.450038767	2.039794921875E-06	0.63653564453125	1322
						1			0.6341552734375	6033.4907287669	2.017822265625E-06	0.634185791015625	1323
						1			0.6317138671875	6033.5314187668	1.995849609375E-06	0.63165283203125	1324
						1			0.6292724609375	6033.5721087667	1.97540283203125E-06	0.629241943359375	1325
						1			0.6268310546875	6033.61279876659	1.95526123046875E-06	0.626800537109375	1326
						1			0.6243896484375	6033.65348876649	1.93634033203125E-06	0.624298095703125	1327
						1			0.6219482421875	6033.69417876639	1.91741943359375E-06	0.621978759765625	1328
						1			0.6195068359375	6033.73486876628	1.9000244140625E-06	0.619476318359375	1329
						1			0.6170654296875	6033.77555876618	1.88262939453125E-06	0.617095947265625	1330
						1			0.6146240234375	6033.81624876608	1.8634033203125E-06	0.614593505859375	1331
						1			0.6121826171875	6033.85693876598	1.84600830078125E-06	0.612152099609375	1332
						1			0.6097412109375	6033.89762876587	1.8316650390625E-06	0.609710693359375	1333
						1			0.6072998046875	6033.93831876577	1.81610107421875E-06	0.60723876953125	1334
						1			0.6048583984375	6033.97900876567	1.80328369140625E-06	0.604827880859375	1335
						1			0.6024169921875	6034.01969876556	1.7889404296875E-06	0.602386474609375	1336
						1			0.5999755859375	6034.06038876546	1.7767333984375E-06	0.599945068359375	1337
						1			0.5975341796875	6034.10107876536	1.76300048828125E-06	0.59747314453125	1338
						1			0.5950927734375	6034.14176876526	1.74835205078125E-06	0.595123291015625	1339
						1			0.5926513671875	6034.18245876515	1.73553466796875E-06	0.59259033203125	1340
						1			0.5902099609375	6034.22314876505	1.7218017578125E-06	0.590179443359375	1341
						1			0.5877685546875	6034.26383876495	1.707763671875E-06	0.587738037109375	1342
						1			0.5853271484375	6034.30452876485	1.6937255859375E-06	0.5853271484375	1343
						1			0.5828857421875	6034.34521876474	1.67999267578125E-06	0.58294677734375	1344
						1			0.5804443359375	6034.38590876464	1.6644287109375E-06	0.58038330078125	1345
						1			0.5780029296875	6034.42659876454	1.65283203125E-06	0.578033447265625	1346
						1			0.5755615234375	6034.46728876443	1.63818359375E-06	0.575531005859375	1347
						1			0.5731201171875	6034.50797876433	1.62322998046875E-06	0.5731201171875	1348
						1			0.5706787109375	6034.54866876423	1.6070556640625E-06	0.570648193359375	1349
						1			0.5682373046875	6034.58935876413	1.59088134765625E-06	0.56829833984375	1350
						1			0.5657958984375	6034.63004876402	1.57379150390625E-06	0.565826416015625	1351
						1			0.5633544921875	6034.67073876392	1.56097412109375E-06	0.5633544921875	1352
						1			0.5609130859375	6034.71142876382	1.54266357421875E-06	0.5609130859375	1353
						1			0.5584716796875	6034.75211876372	1.52801513671875E-06	0.558441162109375	1354
						1			0.5560302734375	6034.79280876361	1.51214599609375E-06	0.556060791015625	1355
						1			0.5535888671875	6034.83349876351	1.4984130859375E-06	0.5535888671875	1356
						1			0.5511474609375	6034.87418876341	1.485595703125E-06	0.551177978515625	1357
						1			0.5487060546875	6034.9148787633	1.47186279296875E-06	0.548736572265625	1358
						1			0.5462646484375	6034.9555687632	1.4593505859375E-06	0.546234130859375	1359
						1			0.5438232421875	6034.9962587631	1.4459228515625E-06	0.543853759765625	1360
						1			0.5413818359375	6035.036948763	1.4324951171875E-06	0.541351318359375	1361
						1			0.5389404296875	6035.07763876289	1.419677734375E-06	0.538909912109375	1362
						1			0.5364990234375	6035.11832876279	1.40838623046875E-06	0.536468505859375	1363
						1			0.5340576171875	6035.15901876269	1.39984130859375E-06	0.53399658203125	1364
						1			0.5316162109375	6035.19970876259	1.38824462890625E-06	0.5316162109375	1365
						1			0.5291748046875	6035.24039876248	1.376953125E-06	0.529205322265625	1366
						1			0.5267333984375	6035.28108876238	1.368408203125E-06	0.526702880859375	1367
						1			0.5242919921875	6035.32177876228	1.356201171875E-06	0.524322509765625	1368
						1			0.5218505859375	6035.36246876217	1.34552001953125E-06	0.5218505859375	1369
						1			0.5194091796875	6035.40315876207	1.3348388671875E-06	0.519439697265625	1370
						1			0.5169677734375	6035.44384876197	1.32354736328125E-06	0.5169677734375	1371
						1			0.5145263671875	6035.48453876187	1.3140869140625E-06	0.5145263671875	1372
						1			0.5120849609375	6035.52522876176	1.29913330078125E-06	0.512115478515625	1373
						1			0.5096435546875	6035.56591876166	1.2872314453125E-06	0.50970458984375	1374
